wavelength_um,emissivity_d0.5um,emissivity_d5um,emissivity_d20um,emissivity_d50um,emissivity_d100um,emissivity_d200um
23.600000,0.010307,0.059341,0.226345,0.477986,0.732740,0.898722
23.650000,0.010080,0.058071,0.221946,0.471942,0.722670,0.894474
23.700000,0.009861,0.056843,0.217688,0.466143,0.712536,0.890784
23.750000,0.009648,0.055654,0.213568,0.460572,0.702458,0.887728
23.800000,0.009443,0.054502,0.209579,0.455212,0.692554,0.885276
23.850000,0.009244,0.053387,0.205716,0.450047,0.682932,0.883287
23.900000,0.009051,0.052307,0.201977,0.445057,0.673689,0.881527
23.950000,0.008865,0.051260,0.198355,0.440226,0.664905,0.879695
24.000000,0.008684,0.050246,0.194847,0.435535,0.656644,0.877462
24.050000,0.008509,0.049262,0.191448,0.430966,0.648954,0.874526
24.100000,0.008339,0.048308,0.188154,0.426501,0.641861,0.870653
24.150000,0.008174,0.047383,0.184962,0.422122,0.635375,0.865729
24.200000,0.008014,0.046485,0.181867,0.417814,0.629488,0.859774
24.250000,0.007859,0.045614,0.178866,0.413558,0.624174,0.852953
24.300000,0.007709,0.044768,0.175956,0.409340,0.619393,0.845549
24.350000,0.007563,0.043947,0.173132,0.405145,0.615090,0.837923
24.400000,0.007421,0.043150,0.170392,0.400958,0.611198,0.830471
24.450000,0.007283,0.042375,0.167733,0.396768,0.607638,0.823561
24.500000,0.007150,0.041622,0.165151,0.392563,0.604323,0.817497
24.550000,0.007020,0.040891,0.162643,0.388332,0.601158,0.812479
24.600000,0.006893,0.040180,0.160207,0.384067,0.598045,0.808583
24.650000,0.006770,0.039488,0.157840,0.379760,0.594885,0.805753
24.700000,0.006651,0.038815,0.155540,0.375406,0.591580,0.803801
24.750000,0.006535,0.038161,0.153303,0.371000,0.588039,0.802429
24.800000,0.006422,0.037524,0.151127,0.366538,0.584178,0.801251
24.850000,0.006312,0.036905,0.149011,0.362020,0.579927,0.799841
24.900000,0.006205,0.036302,0.146951,0.357446,0.575230,0.797775
24.950000,0.006100,0.035714,0.144947,0.352817,0.570051,0.794691
25.000000,0.005999,0.035142,0.142994,0.348136,0.564370,0.790336
